Estacion
ABMF00GLP
AJAC00FRA
ALAC00ESP
ALIC00AUS
AUCK00NZL
BAUT00DEU
BRMG00DEU
BRST00FRA
BRUX00BEL
BUCU00ROU
CAS100ATA
CEDU00AUS
CHOF00JPN
CHTI00NZL
CKIS00COK
COCO00AUS
CUUT00THA
DARW00AUS
DAV100ATA
DUND00NZL
DYNG00GRC
EBRE00ESP
FFMJ00DEU
FLRS00PRT
FUNC00PRT
GANP00SVK
GRAC00FRA
GRAS00FRA
GRAZ00AUT
HERS00GBR
HOB200AUS
HOFN00ISL
ISTA00TUR
JOZ200POL
KARR00AUS
KAT100AUS
KIR000SWE
KIRI00KIR
KOUC00NCL
LAMA00POL
LAUT00FJI
LEIJ00DEU
LMMF00MTQ
LPAL00ESP
M0SE00ITA
MAC100AUS
MAJU00MHL
MALL00ESP
MAR600SWE
MAR700SWE
MARS00FRA
MATE00ITA
MAW100ATA
MCHL00AUS
MELI00ESP
MOBS00AUS
MQZG00NZL
MRO100AUS
NAUR00NRU
NICO00CYP
NIUM00NIU
NRMD00NCL
OHI300ATA
ONSA00SWE
ORID00MKD
PADO00ITA
PARK00AUS
PDEL00PRT
PENC00HUN
PERT00AUS
PNGM00PNG
POHN00FSM
PTVL00VUT
RIO100ESP
SCRZ00BOL
SCTB00ATA
SIN100SGP
SOFI00BGR
SOLO00SLB
SPT000SWE
STFU00USA
STR100AUS
STR200AUS
SYDN00AUS
THTI00PYF
TID100AUS
TIT200DEU
TUVA00TUV
UCAL00CAN
UNB300CAN
VIS000SWE
WARK00NZL
WARN00DEU
WTZR00DEU
XMIS00AUS
YAR200AUS
YAR300AUS
YARR00AUS
ZIM200CHE
