Name,City,Country,Domes,Status,EPN Inclusion,Station Log,Station Owner,TectonicPlate,Latitude,Longitude,Elevation,X,Y,Z,IGS,EPOS,ITRF2014,IGS14,ITRF2020,IGS20,Tipo,Carpeta
NICO00CYP,Nicosia,CYP,14302M001,included,1997-06-22,nico00cyp_20250224.log,BKG,AFRICAN,35.141,33.3965,190.1,4359415.4,2874117.3,3650778.1,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
OLK200FIN,Rauma,FIN,10518M002,included,2018-06-24,olk200fin_20250307.log,FGI,EURASIAN,61.191,21.5058,39.4,2866981.12,1129668.95,5565665.82,,included,,,ITRF2020,,R,EUREF
ONSA00SWE,Onsala,SWE,10402M004,included,1995-12-31,onsa00swe_20221208.log,LMV,EURASIAN,57.3953,11.9255,45.5,3370658.83,711876.94,5349786.75,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
ORID00MKD,Ohrid,MKD,15601M001,included,2000-07-30,orid00mkd_20250122.log,AREC,EURASIAN,41.1273,20.794,773.0,4498451.81,1708266.83,4173591.78,included,included,ITRF2014,,ITRF2020,IGS20,S,IGS
ORIV00FIN,Orivesi,FIN,10527M001,included,2018-10-28,oriv00fin_20250307.log,FGI,EURASIAN,61.6163,24.2118,155.9,2772556.07,1246719.59,5588449.56,,included,,,,,R,EUREF
OSLS00NOR,Oslo,NOR,10307M001,included,2000-12-10,osls00nor_20241018.log,NMA,EURASIAN,59.7366,10.3678,221.5,3169982.15,579956.6,5485936.47,,included,ITRF2014,,ITRF2020,,S,EUREF
PASA00ESP,Pasaia,ESP,19351S001,included,2015-11-08,pasa00esp_20240418.log,GFA,EURASIAN,43.3218,-1.9315,67.3,4644909.24,-156645.17,4353622.78,,included,ITRF2014,,,,S,EUREF
PDEL00PRT,Ponta Delgada,PRT,31906M004,included,2001-02-11,pdel00prt_20250415.log,DGT,EURASIAN,37.7477,-25.6628,110.8,4551596.14,-2186893.42,3883410.68,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
PENC00HUN,Penc,HUN,11206M006,included,1996-03-03,penc00hun_20220622.log,SGO,EURASIAN,47.7896,19.2815,291.7,4052449.8,1417680.8,4701406.9,included,included,ITRF2014,,ITRF2020,IGS20,S,IGS
PYHA00FIN,Pyhajoki,FIN,10528M001,included,2018-10-28,pyha00fin_20250714.log,FGI,EURASIAN,64.4976,24.2376,26.3,2510901.14,1130426.7,5733838.62,,included,,,,,R,EUREF
QAQ100GRL,Qaqortoq / Julianehaab,GRL,43007M001,included,2002-09-08,qaq100grl_20250526.log,DTU Space,NORTH AMERICAN,60.7153,-46.0478,110.4,2170942.18,-2251829.95,5539988.29,included,included,ITRF2014,IGS14,ITRF2020,IGS20,R,IGS
RANT00DEU,Rantum / Island Sylt,DEU,10914M001,included,2015-05-24,rant00deu_20250502.log,BKG,EURASIAN,54.8106,8.2908,47.1,3645376.2,531202.1,5189297.1,,included,,,,,S,EUREF
RIO100ESP,Logrono,ESP,13448M002,included,2012-08-12,rio100esp_20250221.log,IGE,EURASIAN,42.4642,-2.4261,450.4,4708447.2,-199490.81,4284089.34,included,included,,,,,S,IGS
ROM200FIN,Kuhmo,FIN,10520M002,included,2017-04-02,rom200fin_20250609.log,FGI,EURASIAN,64.2174,29.9318,243.0,2410840.27,1388076.19,5720514.68,,included,,,,,R,EUREF
SALA00ESP,Salamanca,ESP,13469M001,included,2006-11-12,sala00esp_20240411.log,IGE,EURASIAN,40.9451,-5.4959,855.4,4803054.1,-462132.2,4158380.0,,included,,,,,S,EUREF
SAS200DEU,Sassnitz Island of Ruegen,DEU,14281M002,included,2016-09-11,sas200deu_20250505.log,BKG,EURASIAN,54.511,13.6431,39.2,3606364.5,875343.0,5170000.3,,included,,,,,S,EUREF
SAVU00FIN,Savukoski,FIN,10529M001,included,2018-10-28,savu00fin_20250613.log,FGI,EURASIAN,67.9608,28.9558,265.2,2100286.21,1162091.7,5889701.34,,included,,,,,R,EUREF
SCOA00FRA,Ciboure,FRA,10088M002,included,2010-03-28,scoa00fra_20240716.log,IGN_RGP,EURASIAN,43.3952,-1.6817,60.2,4639941.9,-136225.5,4359552.0,,included,ITRF2014,,ITRF2020,,S,EUREF
SCOR00GRL,Scoresbysund/Ittoqqoormiit,GRL,43006M002,included,2011-07-17,scor00grl_20250527.log,DTU Space,NORTH AMERICAN,70.4853,-21.9503,128.5,1982096.1,-798821.03,5989464.5,included,included,ITRF2014,IGS14,ITRF2020,IGS20,R,IGS
SHOE00GBR,Shoeburyness,GBR,19197M001,included,2017-03-19,shoe00gbr_20250513.log,OS,EURASIAN,51.5548,0.827,49.0,3973493.0,57358.0,4972193.0,,included,ITRF2014,,ITRF2020,,S,EUREF
SKE000SWE,Skellefteaa,SWE,10426M001,included,2003-10-05,ske000swe_20250826.log,LMV,EURASIAN,64.8792,21.0483,81.2,2534031.2,975174.4,5752078.34,,included,ITRF2014,,ITRF2020,,S,EUREF
SOD300FIN,Sodankyla,FIN,10513M002,included,2017-04-02,sod300fin_20250716.log,FGI,EURASIAN,67.4208,26.3893,300.8,2200149.22,1091650.85,5866868.64,included,included,,,ITRF2020,,R,IGS
SOFI00BGR,Sofia,BGR,11101M002,included,1997-06-22,sofi00bgr_20250307.log,BKG,EURASIAN,42.5561,23.3947,1119.6,4319372.39,1868687.57,4292063.8,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
SONS00ESP,Sonseca,ESP,13446M001,included,2007-09-09,sons00esp_20240319.log,IGE,EURASIAN,39.6754,-3.964,808.9,4904660.5,-339868.0,4050823.5,,included,,,,,S,EUREF
SPT000SWE,Boras,SWE,10425M001,included,2002-07-07,spt000swe_20221208.log,LMV,EURASIAN,57.715,12.8913,219.9,3328984.81,761910.07,5369033.47,included,included,ITRF2014,,ITRF2020,,S,IGS
SRJV00BIH,Sarajevo,BIH,11801S001,included,1999-11-28,srjv00bih_20240923.log,GDFCE,EURASIAN,43.8679,18.4139,645.1,4370292.0,1454981.0,4397965.0,,included,,,,,S,EUREF
STAS00NOR,Stavanger,NOR,10330M001,included,2000-12-10,stas00nor_20241018.log,NMA,EURASIAN,59.0177,5.5986,104.9,3275753.9,321110.86,5445041.88,,included,ITRF2014,,ITRF2020,,S,EUREF
SUN600SWE,Sundsvall,SWE,10440M002,included,2015-05-17,sun600swe_20250410.log,LMV,EURASIAN,62.2325,17.6598,32.3,2838911.3,903817.02,5620660.91,,included,,,,,S,EUREF
SUR400EST,Suurupi,EST,10601M002,included,2012-01-29,sur400est_20250612.log,ELB,EURASIAN,59.4636,24.3803,84.4,2959057.25,1341058.5,5470426.81,,included,,,,,S,EUREF
TERC00PRT,Angra do Heroismo,PRT,31909M001,included,2010-01-03,terc00prt_20240711.log,DGCC,EURASIAN,38.719,-27.153,406.9,4434022.31,-2274181.4,3968279.94,,included,ITRF2014,,,,S,EUREF
TERS00NLD,West-Terschelling,NLD,13534M001,included,1999-06-20,ters00nld_20230417.log,KAD,EURASIAN,53.3627,5.2194,56.1,3798580.87,346993.83,5094780.82,,included,ITRF2014,,ITRF2020,,R,EUREF
TERU00ESP,Teruel,ESP,13487M001,included,2008-09-28,teru00esp_20240607.log,IGE,EURASIAN,40.3505,-1.1243,956.2,4867391.68,-95523.89,4108341.28,,included,,,,,S,EUREF
THU200GRL,Pituffik Space Base,GRL,43001M002,included,2023-11-12,thu200grl_20250821.log,DTU Space,NORTH AMERICAN,76.537,-68.8251,36.2,538093.19,-1389088.13,6180979.36,included,included,,,,,R,IGS
TIT200DEU,Titz,DEU,14278M002,included,2019-12-15,tit200deu_20250502.log,BKG,EURASIAN,51.0352,6.4316,156.1,3993787.1,450204.2,4936131.8,included,included,,,ITRF2020,,S,IGS
TLSE00FRA,Toulouse,FRA,10003M009,included,2001-03-18,tlse00fra_20250820.log,CNES,EURASIAN,43.5607,1.4809,207.2,4627851.9,119638.55,4372993.54,included,included,ITRF2014,IGS14,ITRF2020,IGS20,R,IGS
TLSG00FRA,Toulouse,FRA,10003M034,included,2020-07-19,tlsg00fra_20250826.log,CNES,EURASIAN,43.5497,1.485,208.8,4628684.81,119997.08,4372110.31,included,included,,,ITRF2020,,R,IGS
